Id,Пол,ФИО,Дата окончания обучения,Группа,Специальность,Работает по специальности
122,мужской,Борис Адамович Шумелкин,28.8.2000,66,Технологии материалов,False
123,женский,Евгения Олеговна Пасмерцева,20.5.2002,52,Информационные системы и программирование,False
124,мужской,Виталий Адамович Трешков,27.5.2004,69,Изобразительные и прикладные виды искусств,False
125,мужской,Эдуард Игоревич Делягин,1.11.2000,51,Дизайн (по отраслям),True
126,мужской,Илья Павлович Рышников,2.4.2006,50,Юриспруденция,False
127,женский,Надежда Леонидовна Катанскова,2.6.2000,64,Информационные системы и программирование,False
128,мужской,Константин Виталиевич Курочицкий,21.5.2006,68,Информатика и вычислительная техника,False
129,мужской,Константин Сергеевич Збаровский,29.10.2002,61,Технология парикмахерского искусства,False
130,женский,Елизавета Эдуардовна Ряжнова,2.12.2001,65,Теплоснабжение и теплотехническое оборудование,False
131,мужской,Артём Яковлевич Лататуев,27.5.2000,54,Сетевое и системное администрирование,True
132,мужской,Василий Яковлевич Шабакин,29.4.2001,51,Технологии материалов,True
133,мужской,Григорий Вадимович Пучков,19.7.2003,63,Организация перевозок и управление на транспорте (по видам),True
134,мужской,Станислав Валериевич Зурабов,2.6.2006,63,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
135,мужской,Яков Денисович Пичуков,24.4.2006,54,Техническое обслуживание и ремонт автомобильного транспорта,False
136,мужской,Владислав Леонидович Сваин,28.8.2001,63,Технологии материалов,True
137,мужской,Игорь Данилович Угорелов,22.11.2000,56,Электро- и теплоэнергетика,False
138,мужской,Кирилл Павлович Стоногин,6.11.2000,62,Информатика и вычислительная техника,True
139,женский,Жанна Петровна Шибирова,13.8.2003,69,Электронные приборы и устройства,False
140,мужской,Антон Денисович Парийский,26.9.2000,64,Прикладная информатика (по отраслям),False
141,мужской,Роман Антонович Тартынов,6.10.2004,68,Технология парикмахерского искусства,False
142,женский,Лиза Петровна Гаюнькина,7.11.2005,60,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",True
143,мужской,Яков Георгиевич Каин,30.2.2004,68,Информационные системы и программирование,False
144,мужской,Евгений Яковлевич Бондаев,5.6.2004,70,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
145,мужской,Анатолий Аркадиевич Заселяев,4.9.2001,59,История и археология,False
146,мужской,Вадим Евгеньевич Литвалиев,14.9.2001,64,Организация перевозок и управление на транспорте (по видам),True
147,женский,Полина Сергеевна Лозикова,24.7.2004,62,Электро- и теплоэнергетика,False
148,мужской,Леонид Сергеевич Сыропатов,17.1.2001,52,Информационные системы и программирование,False
149,мужской,Александр Антонович Молканов,13.3.2005,60,Юриспруденция,True
150,мужской,Яков Алексеевич Глашкин,18.8.2004,66,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
151,женский,Екатерина Эдуардовна Исатова,2.10.2005,61,Информатика и вычислительная техника,False
152,мужской,Артём Василиевич Ротовский,1.9.2000,56,Информатика и вычислительная техника,False
153,мужской,Аркадий Алексеевич Мухунов,22.11.2005,54,Информационные системы и программирование,False
154,женский,Елена Вадимовна Валихова,22.5.2006,50,Технологии материалов,False
155,мужской,Дмитрий Аркадиевич Матесов,21.1.2001,57,Организация перевозок и управление на транспорте (по видам),False
156,мужской,Тарас Юриевич Чехобалов,22.5.2001,52,"Электроника, радиотехника и системы связи",False
157,мужской,Валентин Николаевич Дычев,21.6.2000,62,Информационные системы и программирование,False
158,женский,Вера Федоровна Котяева,22.2.2005,61,Дизайн (по отраслям),False
159,мужской,Геннадий Олегович Крыськов,22.2.2000,61,Технология парикмахерского искусства,False
160,женский,София Эдуардовна Семычева,21.3.2003,70,Информатика и вычислительная техника,True
161,мужской,Евгений Юриевич Лугарев,21.4.2003,69,История и археология,False
162,мужской,Вадим Юрьевич Байкачев,22.9.2002,52,Сервис и туризм,True
163,мужской,Владимир Антонович Погулин,16.9.2002,64,Право и организация социального обеспечения,False
164,мужской,Георгий Сергеевич Насанов,5.5.2001,53,Право и организация социального обеспечения,False
165,мужской,Юрий Данилович Тугорев,12.5.2004,56,Информатика и вычислительная техника,False
166,мужской,Тарас Юрьевич Марфутин,6.8.2000,66,Теплоснабжение и теплотехническое оборудование,False
167,женский,Алиса Андреевна Власихина,26.3.2005,61,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),True
168,мужской,Леонид Вадимович Черкашев,23.4.2003,50,Право и организация социального обеспечения,True
169,мужской,Василий Фёдорович Жбрыкунов,9.7.2004,65,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
170,женский,Лиза Николаевна Саделькина,7.6.2006,68,Сетевое и системное администрирование,False
171,мужской,Константин Леонидович Коштовалов,1.3.2000,52,Техническое обслуживание и ремонт автомобильного транспорта,True
172,мужской,Валентин Яковлевич Шолбин,18.1.2000,55,Документационное обеспечение управления и архивоведение,True
173,мужской,Вадим Романович Чуплашкин,20.1.2000,65,Информатика и вычислительная техника,True
174,мужской,Валентин Романович Камышенцев,29.1.2006,60,Техника и технологии наземного транспорта,False
175,женский,Мария Яковлевна Аглуллина,22.3.2003,57,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",True
176,женский,Зинаида Олеговна Ломкина,18.8.2004,66,Информационные системы и программирование,False
177,мужской,Антон Георгиевич Турмилов,3.2.2003,58,Сетевое и системное администрирование,False
178,женский,Оксана Яковлевна Девляшова,3.5.2001,54,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",True
179,женский,Вероника Михайловна Милетина,7.2.2001,51,Организация перевозок и управление на транспорте (по видам),True
180,мужской,Алексей Андреевич Пятакин,11.7.2004,65,Теплоснабжение и теплотехническое оборудование,False
181,мужской,Ярослав Николаевич Собцов,18.9.2001,55,Технология парикмахерского искусства,True
182,мужской,Валентин Алексиевич Кабонин,7.7.2000,68,Электро- и теплоэнергетика,False
183,мужской,Вячеслав Аркадиевич Лобанкин,14.5.2002,63,Дизайн (по отраслям),True
184,мужской,Тарас Фёдорович Бахтюков,24.3.2000,69,Организация перевозок и управление на транспорте (по видам),False
185,мужской,Михаил Антонович Коминдатов,2.6.2000,60,Сервис и туризм,False
186,женский,Елена Эдуардовна Салецкова,3.4.2006,57,Электро- и теплоэнергетика,True
187,мужской,Николай Виталиевич Боровенков,6.2.2004,58,Изобразительные и прикладные виды искусств,True
188,мужской,Борис Адамович Цигулев,3.7.2005,54,Право и организация социального обеспечения,False
189,мужской,Руслан Романович Дигтярев,30.4.2000,50,Техника и технологии наземного транспорта,False
190,мужской,Анатолий Юрьевич Паюшкин,22.5.2003,56,Прикладная информатика (по отраслям),True
191,мужской,Ярослав Фёдорович Миклин,30.12.2001,60,Сварочное производство,True
192,мужской,Никита Андреевич Пятыхин,7.9.2000,54,Сварочное производство,False
193,мужской,Дмитрий Алексеевич Апраскин,14.4.2000,62,Документационное обеспечение управления и архивоведение,True
194,женский,Надежда Романовна Тикмеова,4.7.2006,67,Прикладная информатика (по отраслям),False
195,мужской,Аркадий Антонович Лихванов,19.12.2000,50,Право и организация социального обеспечения,True
196,мужской,Дмитрий Валериевич Шалошов,13.12.2003,65,Технология парикмахерского искусства,True
197,мужской,Владимир Олегович Кавинов,7.9.2004,56,Теплоснабжение и теплотехническое оборудование,True
198,мужской,Николай Данилович Дахов,17.12.2002,67,Электро- и теплоэнергетика,False
199,мужской,Виктор Валериевич Имамдинов,4.10.2003,53,Электронные приборы и устройства,False
200,мужской,Эдуард Антонович Цыклин,21.12.2006,66,Теплоснабжение и теплотехническое оборудование,False
201,женский,Ева Никитична Шуваева,13.5.2006,68,Электронные приборы и устройства,False
202,мужской,Тарас Фёдорович Ботагов,11.5.2002,69,Право и организация социального обеспечения,False
203,мужской,Владимир Вадимович Азоркин,20.1.2006,51,Сетевое и системное администрирование,False
204,женский,Оксана Никитична Алкашова,24.2.2000,63,Юриспруденция,False
205,мужской,Степан Викторович Ржавин,25.5.2004,67,История и археология,False
206,женский,Ирина Василевна Беркалиева,24.3.2004,60,Дизайн (по отраслям),False
207,женский,Марина Николаевна Каяева,26.5.2000,56,Организация перевозок и управление на транспорте (по видам),False
208,мужской,Виктор Юрьевич Чаннов,5.10.2006,67,Электро- и теплоэнергетика,False
209,женский,Зинаида Дмитриевна Нечеухина,9.9.2001,58,Технология парикмахерского искусства,False
210,мужской,Алексей Аркадиевич Владысев,8.10.2001,70,Изобразительные и прикладные виды искусств,False
211,женский,Виолетта Аркадьевна Гокова,10.10.2001,55,Электро- и теплоэнергетика,False
212,мужской,Алексей Василиевич Натурскин,20.8.2002,52,Прикладная информатика (по отраслям),False
213,мужской,Ярослав Петрович Погалов,22.8.2005,63,Техника и технологии наземного транспорта,False
214,мужской,Андрей Борисович Пегахин,15.3.2001,68,Электронные приборы и устройства,False
215,мужской,Аркадий Виталиевич Черемискин,24.2.2000,56,Сетевое и системное администрирование,True
216,мужской,Артём Викторович Гаврюшкин,16.11.2006,62,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),True
217,мужской,Семён Николаевич Утюгов,4.4.2003,65,Сервис и туризм,False
218,мужской,Владимир Антонович Бекешев,15.7.2005,58,Техника и технологии наземного транспорта,False
219,женский,Клавдия Романовна Епидгонова,9.8.2001,62,Право и организация социального обеспечения,True
220,мужской,Михаил Виталиевич Нужков,22.10.2005,53,Информационные системы и программирование,True
221,мужской,Валерий Михаилович Лукирский,22.10.2005,64,История и археология,False
222,мужской,Антон Яковлевич Болгарев,16.5.2005,54,Юриспруденция,False
223,мужской,Михаил Фёдорович Виленский,30.11.2006,51,"Электроника, радиотехника и системы связи",False
224,мужской,Никита Романович Ширабайкин,28.10.2003,64,Право и организация социального обеспечения,True
225,женский,Дарья Эдуардовна Ахапова,20.6.2004,65,Электронные приборы и устройства,False
226,женский,Оксана Андреевна Оксютова,22.10.2004,54,Сервис и туризм,True
227,мужской,Роман Валериевич Гармаев,25.4.2000,69,Изобразительные и прикладные виды искусств,True
228,мужской,Пётр Романович Филелев,25.6.2000,56,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),True
229,мужской,Станислав Яковлевич Исянов,15.1.2003,53,Сервис и туризм,True
230,мужской,Тарас Павлович Прикащиков,25.8.2003,70,Юриспруденция,False
231,мужской,Кирилл Иванович Верийнов,17.6.2006,52,Организация перевозок и управление на транспорте (по видам),False
232,мужской,Пётр Василиевич Клячкин,29.5.2001,50,Электро- и теплоэнергетика,False
233,мужской,Пётр Кириллович Пухлеев,11.6.2005,51,Сетевое и системное администрирование,True
234,женский,Алёна Никитична Перебасова,7.11.2004,50,Дизайн (по отраслям),False
235,женский,Виолетта Олеговна Шестырева,28.5.2006,67,Технология парикмахерского искусства,False
236,женский,Надежда Ивановна Евгареева,25.3.2006,54,Прикладная информатика (по отраслям),False
237,мужской,Артур Вадимович Грушин,18.7.2002,67,Сварочное производство,False
238,женский,Елизавета Андреевна Лапихова,23.8.2006,52,"Электроника, радиотехника и системы связи",True
239,женский,Тамара Эдуардовна Деменьшина,7.11.2004,56,Технологии материалов,False
240,мужской,Алексей Антонович Банков,16.2.2000,70,Электронные приборы и устройства,False
241,мужской,Герасим Вадимович Сорнев,11.1.2002,57,Дизайн (по отраслям),True
242,мужской,Яков Евгеньевич Толошев,23.5.2004,63,"Электроника, радиотехника и системы связи",False
243,мужской,Артём Максимович Кырганов,14.12.2002,65,Техническое обслуживание и ремонт автомобильного транспорта,False
244,мужской,Михаил Валериевич Огиевский,9.7.2003,58,Электронные приборы и устройства,False
245,мужской,Никита Кириллович Падушкин,27.7.2001,70,Сервис и туризм,False
246,женский,Катерина Вадимовна Кнорозова,10.5.2004,54,Право и организация социального обеспечения,True
247,мужской,Антон Борисович Бунчин,8.10.2003,68,Дизайн (по отраслям),False
248,мужской,Эдуард Викторович Матыгин,19.1.2006,64,Изобразительные и прикладные виды искусств,False
249,мужской,Николай Фёдорович Беребердин,21.1.2000,59,Сетевое и системное администрирование,False
250,мужской,Станислав Василиевич Карнаухин,29.7.2003,70,Дизайн (по отраслям),False
251,мужской,Михаил Борисович Варгунин,30.7.2004,50,Техническое обслуживание и ремонт автомобильного транспорта,False
252,женский,Лиза Богдановна Рузиматова,5.12.2000,57,Сетевое и системное администрирование,False
253,мужской,Тарас Валериевич Пакарский,24.2.2006,56,Изобразительные и прикладные виды искусств,True
254,мужской,Эдуард Николаевич Абусев,17.10.2000,63,Электронные приборы и устройства,True
255,женский,Карина Андреевна Шойлова,30.3.2004,60,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
256,мужской,Семён Денисович Кудинский,17.9.2001,69,Информационные системы и программирование,False
257,мужской,Иван Павлович Нестерский,23.6.2005,57,Информационные системы и программирование,True
258,мужской,Николай Романович Глоточкин,25.1.2004,56,Информатика и вычислительная техника,False
259,мужской,Руслан Фёдорович Надточев,26.7.2002,52,История и археология,True
260,мужской,Константин Юриевич Серафимин,3.11.2006,63,Электро- и теплоэнергетика,True
261,мужской,Кирилл Вадимович Шелпаков,30.8.2002,63,Электронные приборы и устройства,False
262,женский,Лиза Никитична Веселых,29.2.2002,52,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
263,мужской,Станислав Антонович Дамурчиев,27.2.2004,60,Документационное обеспечение управления и архивоведение,True
264,мужской,Владислав Валериевич Ботяров,1.7.2004,53,Технология парикмахерского искусства,True
265,мужской,Степан Яковлевич Горнев,20.7.2000,63,Техническое обслуживание и ремонт автомобильного транспорта,True
266,мужской,Кирилл Борисович Рубанников,14.6.2004,62,Прикладная информатика (по отраслям),False
267,мужской,Василий Данилович Голямов,24.3.2001,58,Технологии материалов,False
268,мужской,Артём Петрович Гришокин,6.6.2003,52,"Электроника, радиотехника и системы связи",False
269,женский,Полина Андреевна Требникова,3.8.2004,65,Прикладная информатика (по отраслям),False
270,женский,София Николаевна Вершнякова,21.1.2000,63,Юриспруденция,False
271,мужской,Николай Фёдорович Шигин,12.4.2000,59,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
272,женский,Дарья Ивановна Радышева,28.1.2001,53,Электронные приборы и устройства,True
